level,gid,name,engtype,iso,country,year,threshold,gcp_model,pop_persons,gdp_scale,pop_scale,gdp_pwt,pop_pwt,gdppc,ln_gdppc,n_cells,n_cells_nearest,pop_nat
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2019,0_05,1.2075635422163677,159394,959.2319688877213,1.0176311783999035e-06,1158.3335541572376,0.16220430404987424,7141.201097851729,8.873636262173703,102,18,11470000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2020,0_05,1.1036699732701958,161631,959.2201052405262,1.0160908219120596e-06,1058.6624279110458,0.1642317756364681,6446.148583660366,8.771238112631034,102,18,11630000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2021,0_05,1.1644349556964642,163482,981.3925097914595,1.0117195577960315e-06,1142.76774365986,0.16539793674761083,6909.201929185294,8.84060941503887,102,18,11800000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2022,0_05,1.288052715656289,173435,977.0086582089775,1.0098637098559836e-06,1258.4386554257806,0.1751457125188725,7185.095411857026,8.879764077736999,102,18,11960000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2012,0_05,7.244517138347678,1110921,873.4364466698432,1.0160837138483367e-06,6327.625307157177,1.128788735472108,5605.6772257837,8.631535153503405,197,32,10350000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2013,0_05,7.435559179824851,1087309,908.187147797003,1.0164440090829641e-06,6752.879283800954,1.1051887190719887,6110.15943907865,8.717708146600735,197,32,10510000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2014,0_05,7.8291686580618185,1102501,904.0530959767646,1.0168561415361386e-06,7077.984164245038,1.1210849128997344,6313.512993353489,8.750447534903621,197,32,10670000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2015,0_05,8.172223126536357,1117591,880.8640786042763,1.0171389032483382e-06,7198.617794505006,1.1367452840202135,6332.656836759747,8.753475148526851,197,32,10830000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2016,0_05,8.58375035150474,1137333,892.9528401744103,1.0173684873859727e-06,7664.884255724251,1.1570867538641505,6624.295222572531,8.798499263697025,197,32,10990000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2017,0_05,8.944370523359707,1152661,927.7396236484974,1.0175294096437315e-06,8298.046943114448,1.1728664668493531,7075.0142302263275,8.864324733848825,197,32,11150000
